@type	@id	@lat	@lon	name	addr:city
node	1199899834	41.9951976	43.6389327	ვისოლ	
node	1201039158	-25.4240161	-49.2729577	Corleone Craft Burgers	Curitiba
node	1201359592	-33.9208652	18.4219121	Pick n Pay	Cape Town
node	1204289063	13.7015914	-89.2353982	Super Selectos Escalón	
node	1204822219	-33.9108842	18.3942755	Pick n Pay	Sea Point
node	1205027816	37.7937537	-122.4041740	Pacific Tradewinds Hostel	San Francisco
node	1222424093	52.3829251	4.8771881	Café Nassau	Amsterdam
node	1223236831	52.3654400	4.8851782	Six and Sons	Amsterdam
node	1225187083	50.0801398	14.4171753	Pizzeria Kmotra	Praha
node	1226525996	50.0798524	14.4257859	U Vlčáka	
node	1234120491	47.0494630	8.3088867	das weisse schaf	Luzern
node	1237358659	54.0876074	12.1152488	Craftbar Rostock	Rostock
